,Movie Title,Year,Content Rating,Budget_ADJ,Gross_Income_ADJ,Director,IMDB Score
191,After Earth ,2013,PG-13,"$136,787,475.80","$63,682,037.53",M. Night Shyamalan,4.9
192,Dinosaur ,2000,PG,"$181,491,289.20","$196,079,008.14",Eric Leighton,6.5
193,Night at the Museum: Secret of the Tomb ,2014,PG,"$131,497,702.08","$117,761,603.29",Shawn Levy,6.2
194,Megamind ,2010,PG,"$146,134,937.81","$166,748,436.50",Tom McGrath,7.3
195,Harry Potter and the Sorcerer's Stone ,2001,PG,"$173,009,599.10","$439,524,507.29",Chris Columbus,7.5
196,R.I.P.D. ,2013,PG-13,"$136,787,475.80","$35,346,320.41",Robert Schwentke,5.6
197,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,PG-13,"$186,504,347.83","$406,830,839.50",Gore Verbinski,8.1
198,The Hunger Games: Mockingjay - Part 1 ,2014,PG-13,"$129,426,872.13","$349,042,398.92",Francis Lawrence,6.7
199,The Da Vinci Code ,2006,PG-13,"$151,984,126.98","$264,496,320.17",Ron Howard,6.6
200,Rio 2 ,2014,G,"$106,647,742.63","$136,194,364.09",Carlos Saldanha,6.4
201,X-Men 2 ,2003,PG-13,"$146,539,130.43","$286,349,157.36",Bryan Singer,7.5
202,Fast Five ,2011,PG-13,"$136,214,707.10","$228,628,218.43",Justin Lin,7.3
203,Sherlock Holmes: A Game of Shadows ,2011,PG-13,"$136,214,707.10","$203,592,678.84",Guy Ritchie,7.5
204,Clash of the Titans ,2010,PG-13,"$140,514,363.28","$183,446,687.93",Louis Leterrier,5.8
205,Total Recall ,1990,R,"$121,903,596.02","$223,951,761.25",Paul Verhoeven,7.5
206,The 13th Warrior ,1999,R,"$125,061,224.49","$48,104,120.26",John McTiernan,6.6
207,The Bourne Legacy ,2012,PG-13,"$133,452,964.80","$120,818,316.03",Tony Gilroy,6.7
208,Batman & Robin ,1997,PG-13,"$190,903,426.79","$163,848,599.26",Joel Schumacher,3.7
209,How the Grinch Stole Christmas ,2000,PG,"$175,085,714.29","$370,144,060.97",Ron Howard,6.0
210,The Day After Tomorrow ,2004,PG-13,"$162,202,223.40","$242,317,040.47",Roland Emmerich,6.4
211,Mission: Impossible II ,2000,PG-13,"$177,932,636.47","$306,609,685.78",John Woo,6.1
212,The Perfect Storm ,2000,PG-13,"$199,284,552.85","$259,950,235.44",Wolfgang Petersen,6.4
213,Fantastic 4: Rise of the Silver Surfer ,2007,PG,"$153,686,180.32","$155,956,400.66",Tim Story,5.6
214,Life of Pi ,2012,PG,"$128,114,846.21","$133,428,018.70",Ang Lee,8.0
215,Ghost Rider ,2007,PG-13,"$130,042,152.58","$136,901,989.62",Mark Steven Johnson,5.2
216,Jason Bourne ,2016,PG-13,"$122,556,425.44","$110,833,734.83",Paul Greengrass,7.1
217,Charlie's Angels: Full Throttle ,2003,PG-13,"$159,860,869.57","$134,131,102.75",McG,4.8
218,Prometheus ,2012,R,"$138,791,083.39","$135,016,931.05",Ridley Scott,7.0
219,Stuart Little 2 ,2002,PG,"$163,504,168.98","$88,205,204.36",Rob Minkoff,5.4
220,Elysium ,2013,R,"$121,004,305.52","$97,908,389.44",Neill Blomkamp,6.6
221,The Chronicles of Riddick ,2004,PG-13,"$136,249,867.65","$74,791,425.74",David Twohy,6.7
222,RoboCop ,2014,PG-13,"$103,541,497.70","$60,682,572.81",José Padilha,6.2
223,Speed Racer ,2008,PG,"$136,618,625.84","$50,013,051.68",Lana Wachowski,6.1
224,How Do You Know ,2010,PG-13,"$134,893,788.75","$33,962,456.50",James L. Brooks,5.3
225,Knight and Day ,2010,PG-13,"$131,521,444.03","$85,903,348.08",James Mangold,6.3
226,Oblivion ,2013,PG-13,"$126,265,362.28","$93,669,680.17",Joseph Kosinski,7.0
227,Star Wars: Episode III - Revenge of the Sith ,2005,PG-13,"$141,825,704.05","$477,265,527.30",George Lucas,7.6
228,Star Wars: Episode II - Attack of the Clones ,2002,PG,"$156,691,495.28","$423,306,275.18",George Lucas,6.7
229,"Monsters, Inc. ",2001,G,"$159,168,831.17","$401,254,129.31",Pete Docter,8.1
230,The Wolverine ,2013,PG-13,"$126,265,362.28","$139,471,624.87",James Mangold,6.7
231,Star Wars: Episode I - The Phantom Menace ,1999,PG,"$169,200,480.19","$698,201,628.01",George Lucas,6.5
232,The Croods ,2013,PG,"$142,048,532.56","$196,937,712.26",Kirk De Micco,7.3
233,Windtalkers ,2002,R,"$156,691,495.28","$55,743,789.71",John Woo,6.0
234,The Huntsman: Winter's War ,2016,PG-13,"$117,449,907.71","$48,973,568.03",Cedric Nicolas-Troyan,6.1
235,Teenage Mutant Ninja Turtles ,2014,PG-13,"$129,426,872.13","$197,630,940.58",Jonathan Liebesman,5.9
236,Gravity ,2013,PG-13,"$105,221,135.23","$288,395,296.94",Alfonso Cuarón,7.8
237,Dante's Peak ,1997,PG-13,"$177,158,380.06","$102,562,090.21",Roger Donaldson,5.8
238,Fantastic Four ,2015,PG-13,"$124,102,490.54","$58,032,621.51",Josh Trank,4.3
239,Night at the Museum ,2006,PG,"$133,746,031.75","$305,017,878.23",Shawn Levy,6.4
240,San Andreas ,2015,PG-13,"$113,760,616.33","$160,486,995.23",Brad Peyton,6.1
241,Tomorrow Never Dies ,1997,PG-13,"$167,995,015.58","$191,410,476.98",Roger Spottiswoode,6.5
242,The Patriot ,2000,R,"$156,580,720.09","$161,321,332.35",Roland Emmerich,7.1
243,Ocean's Twelve ,2004,PG-13,"$142,737,956.59","$162,892,081.13",Steven Soderbergh,6.4
244,Mr. & Mrs. Smith ,2005,PG-13,"$150,611,367.13","$233,869,460.15",Doug Liman,6.5
245,Insurgent ,2015,PG-13,"$113,760,616.33","$134,440,038.74",Robert Schwentke,6.3
246,The Aviator ,2004,PG-13,"$142,737,956.59","$133,147,039.04",Martin Scorsese,7.5
247,Gulliver's Travels ,2010,PG,"$125,900,869.50","$48,085,430.38",Rob Letterman,4.9
248,The Green Hornet ,2011,PG-13,"$130,766,118.81","$107,642,355.91",Michel Gondry,5.8
249,300: Rise of an Empire ,2014,R,"$113,895,647.47","$110,136,176.83",Noam Murro,6.2
250,The Smurfs ,2011,PG,"$119,868,942.25","$155,409,166.08",Raja Gosnell,5.5
251,Home on the Range ,2004,PG,"$142,737,956.59","$64,915,085.48",Will Finn,5.4
252,Allegiant ,2016,PG-13,"$112,343,389.98","$67,408,273.71",Robert Schwentke,5.8
253,Real Steel ,2011,PG-13,"$119,868,942.25","$93,130,876.82",Shawn Levy,7.1
254,The Smurfs 2 ,2013,PG,"$110,482,191.99","$74,725,718.54",Raja Gosnell,5.4
255,Speed 2: Cruise Control ,1997,PG-13,"$244,356,386.29","$73,411,372.13",Jan de Bont,3.7
256,Ender's Game ,2013,PG-13,"$115,743,248.75","$64,876,036.47",Gavin Hood,6.7
257,Live Free or Die Hard ,2007,PG-13,"$130,042,152.58","$159,030,681.08",Len Wiseman,7.2
258,The Lord of the Rings: The Fellowship of the Ring ,2001,PG-13,"$128,719,141.73","$434,375,307.03",Peter Jackson,8.8
259,Around the World in 80 Days ,2004,PG,"$142,737,956.59","$31,148,223.68",Frank Coraci,5.8
260,Ali ,2001,R,"$148,096,216.83","$80,531,077.05",Michael Mann,6.8
261,The Cat in the Hat ,2003,PG,"$145,206,956.52","$133,812,733.17",Bo Welch,3.8
262,"I, Robot ",2004,PG-13,"$155,714,134.46","$187,889,021.66",Alex Proyas,7.1
263,Kingdom of Heaven ,2005,R,"$163,162,314.39","$59,487,345.69",Ridley Scott,7.2
264,Stuart Little ,1999,PG,"$195,684,033.61","$206,005,592.48",Rob Minkoff,5.9
265,The Princess and the Frog ,2009,G,"$119,968,117.39","$119,253,001.15",Ron Clements,7.1
